time, step, color, speed, distance, stop, deviation, integral, derivative
79688,0,78,130,1024, False,40.5,40.5,-4
79822,0,61,130,1000, False,23.5,64,-17
79980,0,49,130,998, False,11.5,75.5,-12
80128,0,67,130,978, False,29.5,105,18
80278,0,77,130,976, False,39.5,144.5,10
80417,0,45,130,2550, False,7.5,0,-32
80558,0,16,130,2550, False,-21.5,0,-29
80705,0,79,130,2550, False,41.5,0,63
80858,0,79,130,2018, False,41.5,41.5,0
80991,0,76,130,2550, False,38.5,80,-3
81130,0,78,130,853, False,40.5,120.5,2
81267,0,79,130,827, False,41.5,162,1
81400,0,79,130,826, False,41.5,203.5,0
81550,0,78,130,2550, False,40.5,244,-1
81702,0,74,130,2550, False,36.5,280.5,-4
81833,0,72,130,2550, False,34.5,315,-2
81980,0,68,130,2550, False,30.5,345.5,-4
82128,0,9,130,2550, False,-28.5,0,-59
82269,0,5,130,2550, False,-32.5,-32.5,-4
82408,0,5,130,2485, False,-32.5,-65,0
82548,0,5,130,2449, False,-32.5,-97.5,0
82692,0,6,130,2431, False,-31.5,-129,1
